Setup:AdaptivePass
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency: 5.216237GHz

Capacitance Matrix
	a_connector_pad_Q3	b_connector_pad_Q3	c_connector_pad_Q3	cl_metal_Q3	d_connector_pad_Q3	ground_main_plane	pad_bot_Q3	pad_top_Q3
a_connector_pad_Q3	52.28885	-0.41659	-0.76071	-0.01050	-0.18477	-34.97058	-13.46970	-1.52277
b_connector_pad_Q3	-0.41659	52.29473	-0.18476	-0.01247	-0.76366	-34.97972	-1.51692	-13.47514
c_connector_pad_Q3	-0.76071	-0.18476	52.30764	-0.05609	-0.41656	-34.93612	-13.47626	-1.52348
cl_metal_Q3	-0.01050	-0.01247	-0.05609	15.96195	-0.15577	-15.42211	-0.09945	-0.13542
d_connector_pad_Q3	-0.18477	-0.76366	-0.41656	-0.15577	52.36696	-34.90943	-1.51670	-13.47723
ground_main_plane	-34.97058	-34.97972	-34.93612	-15.42211	-34.90943	270.01646	-27.92710	-27.90836
pad_bot_Q3	-13.46970	-1.51692	-13.47626	-0.09945	-1.51670	-27.92710	82.20132	-22.02885
pad_top_Q3	-1.52277	-13.47514	-1.52348	-0.13542	-13.47723	-27.90836	-22.02885	82.20864

Conductance Matrix
	a_connector_pad_Q3	b_connector_pad_Q3	c_connector_pad_Q3	cl_metal_Q3	d_connector_pad_Q3	ground_main_plane	pad_bot_Q3	pad_top_Q3
a_connector_pad_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
b_connector_pad_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c_connector_pad_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
cl_metal_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
d_connector_pad_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
ground_main_plane	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
pad_bot_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
pad_top_Q3	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
