Setup:AdaptivePass
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency: 5.038986GHz

Capacitance Matrix
	a_connector_pad_Q1	b_connector_pad_Q1	c_connector_pad_Q1	cl_metal_Q1	ground_main_plane	pad_bot_Q1	pad_top_Q1
a_connector_pad_Q1	50.69228	-0.33796	-0.45073	-0.00931	-34.00654	-13.49711	-1.52332
b_connector_pad_Q1	-0.33796	50.74702	-0.14421	-0.01141	-34.18666	-1.49626	-13.69033
c_connector_pad_Q1	-0.45073	-0.14421	50.73449	-0.05230	-34.12539	-13.50667	-1.58640
cl_metal_Q1	-0.00931	-0.01141	-0.05230	16.01295	-15.53175	-0.12294	-0.20944
ground_main_plane	-34.00654	-34.18666	-34.12539	-15.53175	248.09927	-33.23860	-37.76618
pad_bot_Q1	-13.49711	-1.49626	-13.50667	-0.12294	-33.23860	90.53020	-26.22066
pad_top_Q1	-1.52332	-13.69033	-1.58640	-0.20944	-37.76618	-26.22066	83.73712

Conductance Matrix
	a_connector_pad_Q1	b_connector_pad_Q1	c_connector_pad_Q1	cl_metal_Q1	ground_main_plane	pad_bot_Q1	pad_top_Q1
a_connector_pad_Q1	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
b_connector_pad_Q1	00.00000	00.00000	00.00000	00.00000	000.00000	00.00000	000.00000
c_connector_pad_Q1	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
cl_metal_Q1	00.00000	00.00000	00.00000	00.00000	000.00000	00.00000	00.00000
ground_main_plane	000.00000	000.00000	000.00000	000.00000	000.00000	000.00000	000.00000
pad_bot_Q1	000.00000	00.00000	000.00000	00.00000	000.00000	00.00000	000.00000
pad_top_Q1	00.00000	000.00000	00.00000	00.00000	000.00000	000.00000	00.00000
